step,loss,lr,tokens_per_sec,mem_gb,entropy
2350,1.0504,1.9e-05,11493,8.4,1.386
2360,1.0083,1.9e-05,11510,8.4,1.386
2370,1.021,1.9e-05,11297,8.4,1.386
2380,0.952,1.9e-05,11504,8.4,1.386
2390,1.0036,1.8e-05,11510,8.4,1.386
2400,1.0001,1.8e-05,11511,8.4,1.386
2410,0.8961,1.8e-05,11507,8.4,1.386
2420,1.0095,1.8e-05,11316,8.4,1.386
2430,0.9716,1.8e-05,11517,8.4,1.386
2440,0.8861,1.8e-05,11516,8.4,1.386
2450,0.9724,1.8e-05,11517,8.4,1.386
2460,0.9223,1.8e-05,11511,8.4,1.386
2470,1.0221,1.8e-05,11510,8.4,1.386
2480,0.9268,1.8e-05,11297,8.4,1.386
2490,0.9992,1.8e-05,11506,8.4,1.386
2500,1.0927,1.8e-05,11510,8.4,1.386
2510,0.8665,1.8e-05,11517,8.4,1.386
2520,0.9326,1.8e-05,11506,8.5,1.386
2530,0.9251,1.8e-05,11501,8.4,1.386
2540,0.8682,1.8e-05,11325,8.4,1.386
2550,0.8463,1.8e-05,11510,8.4,1.386
2560,0.9164,1.8e-05,11502,8.4,1.386
2570,0.9545,1.8e-05,11502,8.4,1.386
2580,0.9958,1.8e-05,11492,8.5,1.386
2590,0.9513,1.8e-05,11499,8.4,1.386
2600,0.893,1.8e-05,11308,8.4,1.386
2610,0.8644,1.8e-05,11515,8.4,1.386
2620,0.9006,1.8e-05,11531,8.4,1.386
2630,0.9465,1.8e-05,11519,8.4,1.386
2640,0.9256,1.8e-05,11507,8.4,1.386
2650,0.9282,1.8e-05,11502,8.4,1.386
2660,1.0029,1.8e-05,11324,8.4,1.386
2670,1.0293,1.8e-05,11487,8.4,1.386
2680,1.0118,1.8e-05,11502,8.4,1.386
2690,0.9348,1.8e-05,11507,8.4,1.386
2700,0.9299,1.8e-05,11516,8.4,1.386
2710,0.8575,1.8e-05,11274,8.4,1.386
2720,0.9134,1.8e-05,11524,8.4,1.386
2730,0.9155,1.8e-05,11507,8.4,1.386
2740,0.9914,1.8e-05,11524,8.4,1.386
2750,0.9256,1.8e-05,11518,8.4,1.386
2760,0.9366,1.8e-05,11512,8.4,1.386
2770,1.0093,1.8e-05,11328,8.4,1.386
2780,0.9207,1.8e-05,11509,8.4,1.386
2790,0.8873,1.8e-05,11498,8.4,1.386
2800,0.9274,1.8e-05,11507,8.5,1.386
2810,0.9681,1.8e-05,11513,8.4,1.386
2820,0.9769,1.8e-05,11504,8.4,1.386
2830,0.9681,1.8e-05,11285,8.4,1.386
2840,1.0155,1.8e-05,11467,8.4,1.386
2850,0.9727,1.8e-05,11481,8.4,1.386
2860,0.8697,1.8e-05,11481,8.4,1.386
2870,0.8769,1.8e-05,11493,8.4,1.386
2880,0.9377,1.8e-05,11471,8.4,1.386
2890,0.9606,1.8e-05,11191,8.4,1.386
2900,0.9735,1.8e-05,11504,8.4,1.386
2910,0.9672,1.8e-05,11494,8.4,1.386
2920,0.9237,1.8e-05,11473,8.4,1.386
2930,0.8904,1.8e-05,11463,8.4,1.386
2940,0.9279,1.8e-05,11437,8.4,1.386
2950,0.9229,1.8e-05,11135,8.4,1.386
2960,0.9755,1.8e-05,11475,8.4,1.386
2970,0.9241,1.8e-05,11470,8.4,1.386
2980,0.9216,1.8e-05,11479,8.4,1.386
