step,loss,lr,tau,tokens_per_sec,static_entropy
4500,2.3965,9.5e-05,0.793,11738,1.386
4510,2.5542,9.5e-05,0.792,11745,1.386
4520,2.5117,9.5e-05,0.792,11731,1.386
4530,3.0703,9.5e-05,0.791,11732,1.386
4540,2.1519,9.5e-05,0.791,11858,1.386
4550,2.042,9.5e-05,0.79,11920,1.386
4560,2.0352,9.5e-05,0.79,11946,1.386
4570,2.4727,9.5e-05,0.789,11948,1.386
4580,2.4033,9.5e-05,0.789,11947,1.386
4590,2.2959,9.5e-05,0.789,11943,1.386
4600,2.209,9.5e-05,0.788,11941,1.386
4610,2.5239,9.5e-05,0.788,11960,1.386
4620,2.4131,9.5e-05,0.787,11968,1.386
4630,2.3647,9.5e-05,0.787,11978,1.386
4640,2.417,9.5e-05,0.786,11933,1.386
4650,2.5762,9.4e-05,0.786,11928,1.386
4660,2.5557,9.4e-05,0.785,11755,1.386
4670,2.4502,9.4e-05,0.785,11751,1.386
4680,2.4292,9.4e-05,0.784,11753,1.386
4690,2.8428,9.4e-05,0.784,11738,1.386
4700,2.4902,9.4e-05,0.783,11724,1.386
4710,2.4536,9.4e-05,0.783,11755,1.386
4720,2.5898,9.4e-05,0.783,11754,1.386
4730,2.4443,9.4e-05,0.782,11969,1.386
4740,2.437,9.4e-05,0.782,11973,1.386
4750,2.5908,9.4e-05,0.781,11865,1.386
4760,2.7642,9.4e-05,0.781,11751,1.386
4770,2.6084,9.4e-05,0.78,11744,1.386
4780,2.4004,9.4e-05,0.78,11882,1.386
4790,2.4346,9.4e-05,0.779,11984,1.386
4800,2.4302,9.4e-05,0.779,11967,1.386
4810,2.4971,9.4e-05,0.778,11791,1.386
4820,2.2568,9.4e-05,0.778,11519,1.386
4830,2.4565,9.4e-05,0.777,11965,1.386
4840,2.4268,9.4e-05,0.777,11930,1.386
4850,2.5352,9.4e-05,0.777,11949,1.386
4860,2.4365,9.4e-05,0.776,11944,1.386
4870,2.332,9.4e-05,0.776,11946,1.386
4880,2.5708,9.3e-05,0.775,11899,1.386
4890,2.6562,9.3e-05,0.775,11756,1.386
4900,2.332,9.3e-05,0.774,11757,1.386
4910,2.0913,9.3e-05,0.774,11907,1.386
4920,2.3438,9.3e-05,0.773,11982,1.386
4930,2.8232,9.3e-05,0.773,11785,1.386
4940,2.5713,9.3e-05,0.772,11763,1.386
4950,2.5371,9.3e-05,0.772,11736,1.386
4960,2.332,9.3e-05,0.771,11763,1.386
4970,2.6807,9.3e-05,0.771,11747,1.386
4980,2.8867,9.3e-05,0.771,11738,1.386
4990,2.3999,9.3e-05,0.77,11876,1.386
5000,2.25,9.3e-05,0.77,11829,1.386
5010,2.4795,9.3e-05,0.769,9941,1.386
5020,2.6445,9.3e-05,0.769,11836,1.386
5030,2.4575,9.3e-05,0.768,11725,1.386
5040,2.501,9.3e-05,0.768,11741,1.386
5050,2.5049,9.3e-05,0.767,11742,1.386
5060,2.0405,9.3e-05,0.767,11869,1.386
5070,2.21,9.3e-05,0.766,11940,1.386
5080,2.2988,9.3e-05,0.766,11965,1.386
5090,2.6992,9.3e-05,0.765,11889,1.386
5100,3.0254,9.2e-05,0.765,11721,1.386
5110,2.3887,9.2e-05,0.765,11721,1.386
5120,2.627,9.2e-05,0.764,11746,1.386
5130,2.209,9.2e-05,0.764,11737,1.386
5140,2.3701,9.2e-05,0.763,11924,1.386
5150,2.1309,9.2e-05,0.763,11952,1.386
5160,2.4199,9.2e-05,0.762,11993,1.386
5170,2.4805,9.2e-05,0.762,11969,1.386
5180,2.4351,9.2e-05,0.761,11958,1.386
5190,2.3149,9.2e-05,0.761,11942,1.386
5200,2.4961,9.2e-05,0.76,11923,1.386
5210,2.4316,9.2e-05,0.76,11945,1.386
5220,2.3252,9.2e-05,0.76,11857,1.386
5230,2.9492,9.2e-05,0.759,11742,1.386
5240,2.3354,9.2e-05,0.759,11737,1.386
5250,2.5625,9.2e-05,0.758,11768,1.386
5260,2.4819,9.2e-05,0.758,11760,1.386
5270,2.3525,9.2e-05,0.757,11770,1.386
5280,2.3115,9.2e-05,0.757,11966,1.386
5290,2.2007,9.2e-05,0.756,11971,1.386
5300,2.4219,9.2e-05,0.756,11746,1.386
5310,2.4307,9.1e-05,0.755,11744,1.386
5320,2.5732,9.1e-05,0.755,11758,1.386
5330,2.5859,9.1e-05,0.754,11759,1.386
5340,2.502,9.1e-05,0.754,11970,1.386
5350,2.3594,9.1e-05,0.754,11928,1.386
5360,2.2358,9.1e-05,0.753,11849,1.386
5370,2.3687,9.1e-05,0.753,11753,1.386
5380,2.3164,9.1e-05,0.752,11733,1.386
5390,2.7607,9.1e-05,0.752,11753,1.386
5400,2.5537,9.1e-05,0.751,11741,1.386
5410,2.3701,9.1e-05,0.751,11748,1.386
5420,2.2729,9.1e-05,0.75,11832,1.386
5430,2.1719,9.1e-05,0.75,11901,1.386
5440,2.2944,9.1e-05,0.749,11959,1.386
